photo,article_code,title,section,observable,sources,sig_sim,violation_scene,full_excerpt,LABEL
고소대작업,제46조,승강설비의 설치,편1 총칙 > 장6 추락 또는 붕괴에 의한 위험 방지 > 절1 추락에 의한 위험 방지,partial,SIG1,0.624,사진에는 2미터를 넘는 높이 차가 있는 작업장인데도 작업자가 안전하게 오르내릴 수 있는 건설용 리프트 등 승강설비가 보이지 않는다. 상·하부 작업면 사이 이동수단이 마련되지 않아 작업자가 임의로 접근해야 하는 현장처럼 보인다.,"사업주는 높이 또는 깊이가 2미터를 초과하는 장소에서 작업하는 경우 해당 작업에 종사하는 근로자가 안전하게 승강하기 위한 건설용 리프트 등의 설비를 설치해야 한다. 다만, 승강설비를 설치하는 것이 작업의 성질상 곤란한 경우에는 그렇지 않다. <개정 2022.10.18>",n
고소대작업,제156조,조립 등의 작업,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절9 양중기 > 관4 리프트,partial,SIG2,0.605,"리프트를 설치하거나 해체하는 구역인데 출입금지 표지나 통제 표시가 보이지 않고, 작업자들이 안전대 등 보호구 없이 작업하고 있다. 작업 구역과 일반 통행 공간의 구분이 없어 주변 사람이 함께 드나드는 모습으로 보인다.","① 사업주는 리프트의 설치ㆍ조립ㆍ수리ㆍ점검 또는 해체 작업을 하는 경우 다음 각 호의 조치를 하여야 한다.   1. 작업을 지휘하는 사람을 선임하여 그 사람의 지휘하에 작업을 실시할 것   2. 작업을 할 구역에 관계 근로자가 아닌 사람의 출입을 금지하고 그 취지를 보기 쉬운 장소에 표시할 것   3. 비, 눈, 그 밖에 기상상태의 불안정으로 날씨가 몹시 나쁜 경우에는 그 작업을 중지시킬 것 ② 사업주는 제1항제1호의 작업을 지휘하는 사람에게 다음 각 호의 사항을 이행하도록 하여야 한다.   1.",n
고소대작업,제186조,고소작업대 설치 등의 조치,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절10 차량계 하역운반기계등 > 관4 고소작업대,partial,SIG3/DEPL2,0.598,"사진에는 고소작업대가 작업 중인데 아웃트리거를 펼치지 않았고, 작업대 측면에 정격하중 표시나 가드가 보이지 않는다. 탑승 작업자는 안전모·안전대를 착용하지 않았거나 작업대 밖으로 몸을 내밀어 구조물로 넘어가 있고, 주변에는 출입통제 없이 다른 사람이 가까이 접근해 있다.","① 사업주는 고소작업대를 설치하는 경우에는 다음 각 호에 해당하는 것을 설치하여야 한다.   1. 작업대를 와이어로프 또는 체인으로 올리거나 내릴 경우에는 와이어로프 또는 체인이 끊어져 작업대가 떨어지지 아니하는 구조여야 하며, 와이어로프 또는 체인의 안전율은 5 이상일 것   2. 작업대를 유압에 의해 올리거나 내릴 경우에는 작업대를 일정한 위치에 유지할 수 있는 장치를 갖추고 압력의 이상저하를 방지할 수 있는 구조일 것   3. 권과방지장치를 갖추거나 압력의 이상상승을 방지할 수 있는 구조일 ",y
고소대작업,제49조,조명의 유지,편1 총칙 > 장6 추락 또는 붕괴에 의한 위험 방지 > 절1 추락에 의한 위험 방지,partial,SIG4,0.591,"비계나 작업발판 위에서 작업하는 구역이 전반적으로 어둡고, 작업 위치나 발 디딤면이 잘 보이지 않는다. 높은 곳에서 작업자가 일하고 있지만 주변에 작업등이나 충분한 조명이 없어 시야 확보가 어려워 보인다.",사업주는 근로자가 높이 2미터 이상에서 작업을 하는 경우 그 작업을 안전하게 하는 데에 필요한 조명을 유지하여야 한다.,n
고소대작업,제418조,교량에서의 추락 방지,편2 안전기준 > 장8 궤도 관련 작업 등에 의한 위험 방지 > 절4 터널ㆍ지하구간 및 교량 작업 시의 위험방지,yes,SIG5,0.586,"교량 위 궤도나 설비를 점검·보수하는 작업자가 가장자리 가까이 서 있는데, 주변에 안전난간이나 안전망이 보이지 않는다. 작업자도 안전대를 착용하지 않은 채 개방된 구간에서 그대로 작업하고 있다.",사업주는 교량에서 궤도와 그 밖의 관련 설비의 보수ㆍ점검 등의 작업을 하는 경우에 추락 위험을 방지할 수 있도록 안전난간 또는 안전망을 설치하거나 안전대를 지급하여 착용하게 하여야 한다.,n
고소대작업,제162조,조립 등의 작업,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절9 양중기 > 관6 승강기,partial,SIG6,0.586,"승강기 설치나 수리 작업이 진행 중인 구역인데 출입금지 표지나 구역 통제가 보이지 않고, 주변에 작업과 무관해 보이는 사람이 함께 드나든다. 승강로 주변에서 일하는 작업자에게 안전대 등 보호구 착용이 보이지 않는다.","① 사업주는 사업장에 승강기의 설치ㆍ조립ㆍ수리ㆍ점검 또는 해체 작업을 하는 경우 다음 각 호의 조치를 해야 한다.   1. 작업을 지휘하는 사람을 선임하여 그 사람의 지휘하에 작업을 실시할 것   2. 작업을 할 구역에 관계 근로자가 아닌 사람의 출입을 금지하고 그 취지를 보기 쉬운 장소에 표시할 것   3. 비, 눈, 그 밖에 기상상태의 불안정으로 날씨가 몹시 나쁜 경우에는 그 작업을 중지시킬 것 ② 사업주는 제1항제1호의 작업을 지휘하는 사람에게 다음 각 호의 사항을 이행하도록 하여야 한다. ",n
고소대작업,제68조,이동식비계,편1 총칙 > 장7 비계 > 절5 말비계 및 이동식비계,partial,SIG7,0.583,"바퀴 달린 이동식비계가 작업 중인데 바퀴 고정장치나 아웃트리거가 보이지 않고, 상부 작업발판 가장자리에도 안전난간이 없다. 작업자는 기울어진 발판 위에서 난간을 딛거나 발판 위에 올린 사다리를 사용해 불안정하게 작업하고 있다.","사업주는 이동식비계를 조립하여 작업을 하는 경우에는 다음 각 호의 사항을 준수하여야 한다. <개정 2019.10.15, 2024.6.28>   1. 이동식비계의 바퀴에는 뜻밖의 갑작스러운 이동 또는 전도를 방지하기 위하여 브레이크ㆍ쐐기 등으로 바퀴를 고정시킨 다음 비계의 일부를 견고한 시설물에 고정하거나 아웃트리거를 설치하는 등 필요한 조치를 할 것   2. 승강용사다리는 견고하게 설치할 것   3. 비계의 최상부에서 작업을 하는 경우에는 안전난간을 설치할 것   4. 작업발판은 항상 수평을 유지",n
고소대작업,제42조,추락의 방지,편1 총칙 > 장6 추락 또는 붕괴에 의한 위험 방지 > 절1 추락에 의한 위험 방지,partial,SIG8,0.577,"높은 작업 위치에서 근로자가 작업발판 없이 가장자리나 설비 위에 서서 작업하고, 아래쪽에도 추락방호망이 보이지 않는다. 또는 이동식 사다리 위에서 최상부 발판에 올라선 채 안전대 없이 작업하거나, 사다리가 고정·지지되지 않은 상태로 불안정하게 세워져 있다.","① 사업주는 근로자가 추락하거나 넘어질 위험이 있는 장소[작업발판의 끝ㆍ개구부(開口部) 등을 제외한다]또는 기계ㆍ설비ㆍ선박블록 등에서 작업을 할 때에 근로자가 위험해질 우려가 있는 경우 비계(飛階)를 조립하는 등의 방법으로 작업발판을 설치하여야 한다. ② 사업주는 제1항에 따른 작업발판을 설치하기 곤란한 경우 다음 각 호의 기준에 맞는 추락방호망을 설치해야 한다. 다만, 추락방호망을 설치하기 곤란한 경우에는 근로자에게 안전대를 착용하도록 하는 등 추락위험을 방지하기 위해 필요한 조치를 해야 한다.",n
고소대작업,제44조,안전대의 부착설비 등,편1 총칙 > 장6 추락 또는 붕괴에 의한 위험 방지 > 절1 추락에 의한 위험 방지,partial,SIG9,0.568,높은 작업 위치에서 작업자가 안전대를 착용하고 있지만 훅을 걸 수 있는 부착설비나 지지로프가 보이지 않는다. 또는 지지로프가 느슨하게 처져 있거나 풀린 상태로 설치되어 있어 추락 시 안전하게 지지되지 않을 것처럼 보인다.,① 사업주는 추락할 위험이 있는 높이 2미터 이상의 장소에서 근로자에게 안전대를 착용시킨 경우 안전대를 안전하게 걸어 사용할 수 있는 설비 등을 설치하여야 한다. 이러한 안전대 부착설비로 지지로프 등을 설치하는 경우에는 처지거나 풀리는 것을 방지하기 위하여 필요한 조치를 하여야 한다. ② 사업주는 제1항에 따른 안전대 및 부속설비의 이상 유무를 작업을 시작하기 전에 점검하여야 한다.,y
고소대작업,제634조,가스배관공사 등에 관한 조치,편3 보건기준 > 장10 밀폐공간 작업으로 인한 건강장해의 예방 > 절3 유해가스 발생장소 등에 대한 조치기준,partial,SIG10,0.565,"맨홀이나 지하실 같은 좁고 환기 나쁜 공간 안에서 작업자가 가스배관을 분리하거나 연결하고 있는데, 주변에 환기설비가 보이지 않고 작업자도 공기호흡기나 송기마스크를 착용하지 않은 모습이다. 배관 작업이 밀폐공간 내부에서 그대로 진행되는 장면이 보인다.",① 사업주는 근로자가 지하실이나 맨홀의 내부 또는 그 밖에 통풍이 불충분한 장소에서 가스를 공급하는 배관을 해체하거나 부착하는 작업을 하는 경우에 다음 각 호의 조치를 하여야 한다.   1. 배관을 해체하거나 부착하는 작업장소에 해당 가스가 들어오지 않도록 차단할 것   2. 해당 작업을 하는 장소는 적정공기 상태가 유지되도록 환기를 하거나 근로자에게 공기호흡기 또는 송기마스크를 지급하여 착용하도록 할 것 ② 근로자는 제1항제2호에 따라 지급된 보호구를 사업주의 지시에 따라 착용하여야 한다.,n
고소대작업,제32조,보호구의 지급 등,편1 총칙 > 장4 보호구,partial,SIG11,0.562,"철골 상부, 용접 지점, 분진이 날리는 하역 현장, 이륜차 배송 현장 등에서 작업자가 해당 작업에 맞는 보호구를 착용하지 않은 채 작업하거나 주행하는 모습이 보인다. 높은 곳 작업자에게 안전대가 없거나, 용접 작업자에게 보안면이 없고, 배송 운전자가 안전모 없이 이동하는 장면이 위반 신호로 보인다.","① 사업주는 다음 각 호의 어느 하나에 해당하는 작업을 하는 근로자에 대해서는 다음 각 호의 구분에 따라 그 작업조건에 맞는 보호구를 작업하는 근로자 수 이상으로 지급하고 착용하도록 하여야 한다.   1. 물체가 떨어지거나 날아올 위험 또는 근로자가 추락할 위험이 있는 작업: 안전모   2. 높이 또는 깊이 2미터 이상의 추락할 위험이 있는 장소에서 하는 작업: 안전대(安全帶)   3. 물체의 낙하ㆍ충격, 물체에의 끼임, 감전 또는 정전기의 대전(帶電)에 의한 위험이 있는 작업: 안전화   4. ",y
고소대작업,제14조,낙하물에 의한 위험의 방지,편1 총칙 > 장2 작업장,partial,SIG12,0.561,"건물 외벽이나 비계 상부에서 작업이 진행되는데 아래쪽 바닥과 통로가 그대로 열려 있고, 외측에는 낙하물방지망이나 방호선반이 보이지 않는다. 낙하 위험 구역에 출입금지 표시도 없이 작업자나 통행자가 드나들고 있다.","① 사업주는 작업장의 바닥, 도로 및 통로 등에서 낙하물이 근로자에게 위험을 미칠 우려가 있는 경우 보호망을 설치하는 등 필요한 조치를 하여야 한다. ② 사업주는 작업으로 인하여 물체가 떨어지거나 날아올 위험이 있는 경우 낙하물 방지망, 수직보호망 또는 방호선반의 설치, 출입금지구역의 설정, 보호구의 착용 등 위험을 방지하기 위하여 필요한 조치를 하여야 한다. 이 경우 낙하물 방지망 및 수직보호망은 「산업표준화법」 제12조에 따른 한국산업표준(이하 ""한국산업표준""이라 한다)에서 정하는 성능기준에 ",n
고소대작업,제45조,지붕 위에서의 위험 방지,편1 총칙 > 장6 추락 또는 붕괴에 의한 위험 방지 > 절1 추락에 의한 위험 방지,yes,SIG13,0.556,"작업자가 지붕 가장자리 가까이에서 일하고 있는데 가장자리에 안전난간이 없고, 채광창이 덮개 없이 드러나 있다. 슬레이트 같은 약한 지붕면에는 발판이 보이지 않으며, 아래쪽 추락방호망이나 작업자의 안전대 착용도 확인되지 않는다.",① 사업주는 근로자가 지붕 위에서 작업을 할 때에 추락하거나 넘어질 위험이 있는 경우에는 다음 각 호의 조치를 해야 한다.   1. 지붕의 가장자리에 제13조에 따른 안전난간을 설치할 것   2. 채광창(skylight)에는 견고한 구조의 덮개를 설치할 것   3. 슬레이트 등 강도가 약한 재료로 덮은 지붕에는 폭 30센티미터 이상의 발판을 설치할 것 ② 사업주는 작업 환경 등을 고려할 때 제1항제1호에 따른 조치를 하기 곤란한 경우에는 제42조제2항 각 호의 기준을 갖춘 추락방호망을 설치해야 한,n
고소대작업,제206조,수리 등의 작업 시 조치,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절12 건설기계 등 > 관1 차량계 건설기계 등,partial,SIG14,0.549,"굴착기나 다른 차량계 건설기계의 작업장치가 들어 올려진 채 정비 중인데, 하부나 주변에 안전지지대나 안전블록이 보이지 않는다. 부속장치를 떼거나 다는 작업이 진행되지만 장비를 기계적으로 지지한 흔적 없이 작업자가 바로 접근해 있다.",사업주는 차량계 건설기계의 수리나 부속장치의 장착 및 제거작업을 하는 경우 그 작업을 지휘하는 사람을 지정하여 다음 각 호의 사항을 준수하도록 하여야 한다. <개정 2019.10.15>   1. 작업순서를 결정하고 작업을 지휘할 것   2. 제205조의 안전지지대 또는 안전블록 등의 사용상황 등을 점검할 것,n
고소대작업,제654조,보호구의 지급 등,편3 보건기준 > 장11 사무실에서의 건강장해 예방 > 절4 공기정화설비등의 개ㆍ보수 시 조치,partial,SIG15,0.548,"공조기나 덕트, 필터를 열어 청소하거나 수리하는 작업자가 맨얼굴로 작업하고 있다. 먼지나 오염물이 나올 수 있는 설비 내부를 다루는데도 보안경과 방진마스크가 보이지 않는다.","① 사업주는 근로자가 공기정화설비등의 청소, 개ㆍ보수작업을 하는 경우에 보안경, 방진마스크 등 적절한 보호구를 지급하고 착용하도록 하여야 한다. ② 제1항에 따라 보호구를 지급하는 경우에 근로자 개인 전용의 것을 지급하여야 한다. ③ 근로자는 제1항에 따라 지급된 보호구를 사업주의 지시에 따라 착용하여야 한다.",n
고소대작업,제545조,스쿠버 잠수작업 시 조치,편3 보건기준 > 장5 이상기압에 의한 건강장해의 예방 > 절3 작업방법 등,partial,DEPL1,,"수중 작업 구역에서 스쿠버 잠수작업자가 혼자 작업하고 있고, 주변에 감시인으로 보이는 인원이 없다. 작업자 장비를 보면 부력조절기나 비상기체통, 수중압력계·수중시계·칼 같은 필수 휴대 장비가 빠져 있어 즉시 대응 수단이 부족해 보인다.","① 사업주는 근로자가 스쿠버 잠수작업을 하는 경우에는 잠수작업자 2명을 1조로 하여 잠수작업을 하도록 하여야 하며, 잠수작업을 하는 곳에 감시인을 두어 잠수작업자의 이상 유무를 감시하게 하여야 한다. ② 사업주는 스쿠버 잠수작업(실내에서 잠수작업을 하는 경우는 제외한다)을 하는 잠수작업자에게 비상기체통을 제공하여야 한다. ③ 사업주는 호흡용 기체통 및 비상기체통의 기능의 이상 유무 및 해당 기체통에 저장된 호흡용 기체량 등을 확인하여 그 내용을 잠수작업자에게 알려야 하며, 이상이 있는 호흡용 기체",n
고소대작업,제561조,환기장치의 설치 등,편3 보건기준 > 장6 온도ㆍ습도에 의한 건강장해의 예방 > 절2 설비 기준 등,partial,DEPL3,,"실내 작업장에 가열로 같은 고열 설비가 खुल려 있고, 그 앞에서 작업자가 바로 열을 받으며 작업한다. 주변에 환기장치, 열원 격리 구조물, 차열판이 보이지 않는다.","사업주는 실내에서 고열작업을 하는 경우에 고열을 감소시키기 위하여 환기장치 설치, 열원과의 격리, 복사열 차단 등 필요한 조치를 하여야 한다.",n
고소대작업,제73조,덕트,편1 총칙 > 장8 환기장치,partial,DEPL4,,"작업장 천장이나 벽을 따라 설치된 배기덕트가 불필요하게 길게 돌아가고 엘보가 여러 번 꺾여 있다. 덕트 연결부는 틈이 보이거나 임시 보수 흔적이 있고, 청소구가 보이지 않아 유지관리하기 어려워 보인다.",사업주는 분진등을 배출하기 위하여 설치하는 국소배기장치(이동식은 제외한다)의 덕트(duct)가 다음 각 호의 기준에 맞도록 하여야 한다.   1. 가능하면 길이는 짧게 하고 굴곡부의 수는 적게 할 것   2. 접속부의 안쪽은 돌출된 부분이 없도록 할 것   3. 청소구를 설치하는 등 청소하기 쉬운 구조로 할 것   4. 덕트 내부에 오염물질이 쌓이지 않도록 이송속도를 유지할 것   5. 연결 부위 등은 외부 공기가 들어오지 않도록 할 것,n
고소대작업,제549조,관리감독자의 휴대기구,편3 보건기준 > 장5 이상기압에 의한 건강장해의 예방 > 절4 관리 등,partial,DEPL5,,"고압작업 현장에 감독 역할의 인원이 서 있지만 몸에 압력계나 가스농도측정기, 손전등 같은 휴대기구가 보이지 않는다. 비상 시 사용할 신호용 기구도 확인되지 않아 필요한 휴대장비 없이 현장을 관리하는 모습이다.","사업주는 고압작업의 관리감독자에게 휴대용압력계ㆍ손전등, 이산화탄소 등 유해가스농도측정기 및 비상시에 사용할 수 있는 신호용 기구를 지니도록 하여야 한다. <개정 2012.3.5>",n
고소대작업,제43조,개구부 등의 방호 조치,편1 총칙 > 장6 추락 또는 붕괴에 의한 위험 방지 > 절1 추락에 의한 위험 방지,yes,DEPL6,,"바닥이나 작업발판 끝이 그대로 열려 있는데도 안전난간이나 울타리, 덮개가 보이지 않아 사람이 바로 떨어질 수 있어 보인다. 난간을 치운 자리에서 작업이 진행되지만 아래쪽 추락방호망이 없고 작업자도 안전대를 착용하지 않은 모습이다.","① 사업주는 작업발판 및 통로의 끝이나 개구부로서 근로자가 추락할 위험이 있는 장소에는 안전난간, 울타리, 수직형 추락방망 또는 덮개 등(이하 이 조에서 ""난간등""이라 한다)의 방호 조치를 충분한 강도를 가진 구조로 튼튼하게 설치하여야 하며, 덮개를 설치하는 경우에는 뒤집히거나 떨어지지 않도록 설치하여야 한다. 이 경우 어두운 장소에서도 알아볼 수 있도록 개구부임을 표시해야 하며, 수직형 추락방망은 한국산업표준에서 정하는 성능기준에 적합한 것을 사용해야 한다. ② 사업주는 난간등을 설치하는 것이 ",n
고소대작업,제319조,정전전로에서의 전기작업,편2 안전기준 > 장3 전기로 인한 위험 방지 > 절3 전기작업에 대한 위험 방지,partial,DEPL7,,"열린 분전반이나 전기기기 내부의 노출 충전부 가까이에서 작업자가 작업하고 있는데, 차단장치에는 잠금장치와 꼬리표가 보이지 않는다. 정전 작업 장면처럼 보이지만 접지기구나 검전 흔적 없이 충전부 인근에 손과 공구가 바로 들어가 있는 모습이다.","① 사업주는 근로자가 노출된 충전부 또는 그 부근에서 작업함으로써 감전될 우려가 있는 경우에는 작업에 들어가기 전에 해당 전로를 차단하여야 한다. 다만, 다음 각 호의 경우에는 그러하지 아니하다.   1. 생명유지장치, 비상경보설비, 폭발위험장소의 환기설비, 비상조명설비 등의 장치ㆍ설비의 가동이 중지되어 사고의 위험이 증가되는 경우   2. 기기의 설계상 또는 작동상 제한으로 전로차단이 불가능한 경우   3. 감전, 아크 등으로 인한 화상, 화재ㆍ폭발의 위험이 없는 것으로 확인된 경우 ② 제1항의",n
