version,case_id,case_type,industry_context,work_context,primary_risk,false_positive_risk,actual_has_confirmed_she,actual_has_confirmation_candidate,actual_observable_signal,she_match_count,sr_count
v1,SYN-0008,ambiguous,"{'declared_industries': [], 'inferred_industries': ['CONSTRUCTION'], 'primary_industry': 'CONSTRUCTION', 'primary_label': '건설업', 'confidence': 0.68, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->CONSTRUCTION', 'text:비계->CONSTRUCTION']}",SCAFFOLD,방호망 설치 범위가 불명확하여 미설치 구간이 있을 경우 낙하물·추락 위험이 존재한다.,사진 프레임 밖에 방호망이 정상 설치되어 있을 수 있으므로 미설치로 단정하지 않아야 한다.,False,True,True,5,50
v1,SYN-0018,ambiguous,"{'declared_industries': [], 'inferred_industries': ['CONSTRUCTION', 'DELIVERY_LOGISTICS'], 'primary_industry': 'CONSTRUCTION', 'primary_label': '건설업', 'confidence': 0.68, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->CONSTRUCTION', 'text:도로->DELIVERY_LOGISTICS', 'text:굴착->CONSTRUCTION']}",EXCAVATION,굴착 주변 안전 펜스가 부분 설치로 보여 미설치 구간에 일반인이 추락할 위험이 잠재한다.,사진 프레임 밖에 이미 펜스가 설치되어 있을 수 있으므로 미설치로 확정하지 않아야 한다.,False,True,True,5,51
v1,SYN-0028,ambiguous,"{'declared_industries': [], 'inferred_industries': ['MANUFACTURING', 'WAREHOUSE_STORAGE'], 'primary_industry': 'MANUFACTURING', 'primary_label': '제조업', 'confidence': 0.68, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->MANUFACTURING', 'work_context->WAREHOUSE_STORAGE', 'text:컨베이어->MANUFACTURING']}",CONVEYOR,방호 덮개가 일부 설치되어 있으나 가려진 면에 개구부가 있을 경우 끼임 위험이 잠재한다.,덮개가 완전히 설치되어 있고 가려진 부분에 개구부가 없을 수 있으므로 미설치로 단정하면 오탐이다.,False,True,True,5,50
v1,SYN-0029,ambiguous,"{'declared_industries': [], 'inferred_industries': ['MANUFACTURING'], 'primary_industry': 'MANUFACTURING', 'primary_label': '제조업', 'confidence': 0.68, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->MANUFACTURING', 'text:로봇->MANUFACTURING']}",ROBOT,로봇 가동 중 안전 펜스 인터록 상태가 불명확하여 문이 열려 있을 경우 로봇 충돌 위험이 있다.,인터록이 정상 작동 중이라면 위험이 없으므로 펜스 표시등 색상 확인 없이 즉각 위반 처리하면 오탐이다.,False,True,True,5,51
v1,SYN-0037,ambiguous,"{'declared_industries': [], 'inferred_industries': ['GENERAL'], 'primary_industry': 'GENERAL', 'primary_label': '일반 사업장', 'confidence': 0.6, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->GENERAL']}",GENERAL_WORKPLACE,차단기 용도 미표기로 비상 시 오조작 가능성이 있어 간접적인 감전·화재 위험이 증가한다.,라벨 미부착이 즉각 감전 위험이라기보다 관리 부적합에 해당하며 즉각 사고 위험으로 과잉 판단하지 않아야 한다.,True,True,True,5,50
v1,SYN-0038,ambiguous,"{'declared_industries': [], 'inferred_industries': ['GENERAL'], 'primary_industry': 'GENERAL', 'primary_label': '일반 사업장', 'confidence': 0.6, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->GENERAL']}",GENERAL_WORKPLACE,절연 장갑 착용 상태는 확인되나 손목 절연 구간 부족 가능성으로 인해 감전 위험이 잠재할 수 있다.,장갑 밀림이 작업 동작 중 일시적인 현상일 수 있고 정격 장갑이라면 절연 구간이 충분할 수 있다.,True,True,True,5,50
v1,SYN-0039,ambiguous,"{'declared_industries': [], 'inferred_industries': ['GENERAL', 'CONSTRUCTION'], 'primary_industry': 'GENERAL', 'primary_label': '일반 사업장', 'confidence': 0.6, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->GENERAL', 'text:건설->CONSTRUCTION']}",GENERAL_WORKPLACE,임시 배선 상태 및 전원 연결 여부가 불명확하여 피복 손상 시 감전 위험이 잠재한다.,전선들이 전원과 분리된 사용하지 않는 상태라면 즉각 위험은 없다.,False,True,True,5,53
v1,SYN-0046,ambiguous,"{'declared_industries': [], 'inferred_industries': ['GENERAL'], 'primary_industry': 'GENERAL', 'primary_label': '일반 사업장', 'confidence': 0.6, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->GENERAL']}",GENERAL_WORKPLACE,라벨 불량으로 내용물 정보가 불명확하여 취급 시 적절한 보호조치를 결정하기 어렵다.,드럼 내용물이 실제로 무해하거나 위험 등급이 낮을 수 있으므로 라벨 불량만으로 즉각 위험 처리하면 오탐이다.,False,True,True,5,51
v1,SYN-0048,ambiguous,"{'declared_industries': [], 'inferred_industries': ['GENERAL'], 'primary_industry': 'GENERAL', 'primary_label': '일반 사업장', 'confidence': 0.6, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->GENERAL']}",GENERAL_WORKPLACE,PAPR 면체 시일 부적합 가능성으로 인해 화학물질 증기가 면체 내부로 유입될 수 있다.,면체가 실제로 밀착되어 있고 시일 들림처럼 보이는 것이 원근감에 의한 착시일 수 있다.,False,True,True,5,51
v1,SYN-0049,ambiguous,"{'declared_industries': [], 'inferred_industries': ['GENERAL', 'MANUFACTURING'], 'primary_industry': 'GENERAL', 'primary_label': '일반 사업장', 'confidence': 0.6, 'needs_confirmation': False, 'confirmation_question': None, 'evidence': ['work_context->GENERAL', 'text:설비->MANUFACTURING']}",GENERAL_WORKPLACE,비상 세안·샤워 설비 접근 경로 장애로 화학물질 피부·눈 접촉 사고 시 즉각 응급 처치가 지연될 수 있다.,접근 우회 거리가 매우 짧고 긴급 상황에서도 충분히 접근 가능한 경우 즉각 위반으로 처리하면 오탐이다.,False,True,True,5,52
